ID,ls,submitted,action,size,symbol,price,type,status,fill_price,filled_or_cancelled
47,L,2021-03-02,SELL,100,IVV,395.78,LIMIT,CANCELLED,,2021-03-09
47,L,2021-03-09,SELL,100,IVV,388.59,MKT,FILLED,388.59,2021-03-09
47,L,2021-03-02,BUY,100,IVV,388.02,MKT,FILLED,388.02,2021-03-02
46,S,2021-02-25,BUY,100,IVV,376.1,LIMIT,FILLED,373.26,2021-03-04
46,S,2021-02-25,SELL,100,IVV,383.78,MKT,FILLED,383.78,2021-02-25
45,L,2021-01-25,SELL,100,IVV,393.56,LIMIT,CANCELLED,,2021-02-01
45,L,2021-02-01,SELL,100,IVV,377.6,MKT,FILLED,377.6,2021-02-01
45,L,2021-01-25,BUY,100,IVV,385.84,MKT,FILLED,385.84,2021-01-25
44,S,2021-01-05,BUY,100,IVV,365.22,LIMIT,CANCELLED,,2021-01-12
44,S,2021-01-12,BUY,100,IVV,380.2,MKT,FILLED,380.2,2021-01-12
44,S,2021-01-05,SELL,100,IVV,372.67,MKT,FILLED,372.67,2021-01-05
43,S,2020-11-25,BUY,100,IVV,356.71,LIMIT,CANCELLED,,2020-12-03
43,S,2020-12-03,BUY,100,IVV,368.03,MKT,FILLED,368.03,2020-12-03
43,S,2020-11-25,SELL,100,IVV,363.99,MKT,FILLED,363.99,2020-11-25
42,S,2020-11-24,SELL,100,IVV,364.51,MKT,FILLED,364.51,2020-11-24
42,S,2020-12-02,BUY,100,IVV,368.1,MKT,FILLED,368.1,2020-12-02
42,S,2020-11-24,BUY,100,IVV,357.22,LIMIT,CANCELLED,,2020-12-02
41,S,2020-11-09,BUY,100,IVV,348.71,LIMIT,CANCELLED,,2020-11-16
41,S,2020-11-16,BUY,100,IVV,363.8,MKT,FILLED,363.8,2020-11-16
41,S,2020-11-09,SELL,100,IVV,355.83,MKT,FILLED,355.83,2020-11-09
40,L,2020-10-28,SELL,100,IVV,334.44,LIMIT,FILLED,334.54,2020-10-29
40,L,2020-10-28,BUY,100,IVV,327.88,MKT,FILLED,327.88,2020-10-28
39,L,2020-11-03,SELL,100,IVV,337.28,MKT,FILLED,337.28,2020-11-03
39,L,2020-10-27,SELL,100,IVV,346.22,LIMIT,CANCELLED,,2020-11-03
39,L,2020-10-27,BUY,100,IVV,339.43,MKT,FILLED,339.43,2020-10-27
38,L,2020-10-26,SELL,100,IVV,347.4,LIMIT,CANCELLED,,2020-11-02
38,L,2020-11-02,SELL,100,IVV,331.36,MKT,FILLED,331.36,2020-11-02
38,L,2020-10-26,BUY,100,IVV,340.59,MKT,FILLED,340.59,2020-10-26
37,S,2020-10-22,BUY,100,IVV,338.94,LIMIT,FILLED,336.81,2020-10-26
37,S,2020-10-22,SELL,100,IVV,345.86,MKT,FILLED,345.86,2020-10-22
36,S,2020-10-21,BUY,100,IVV,337.02,LIMIT,FILLED,336.81,2020-10-26
36,S,2020-10-21,SELL,100,IVV,343.9,MKT,FILLED,343.9,2020-10-21
