Date,position,ivv_close,cash,stock_value,total_value
2019-03-18,0,285.41,50000.0,0.0,50000.0
2019-03-19,-100,285.54,78554.0,-28554.000000000004,50000.0
2019-03-20,0,283.39,50215.0,0.0,50215.0
2019-03-21,0,286.57,50215.0,0.0,50215.0
2019-03-22,100,281.16,22098.999999999996,28116.000000000004,50215.0
2019-03-25,200,280.91,-5854.0,56182.00000000001,50328.00000000001
2019-03-26,200,282.96,-5854.0,56591.99999999999,50737.99999999999
2019-03-27,100,281.58,22304.0,28158.0,50462.0
2019-03-28,100,282.69,22304.0,28269.0,50573.0
2019-03-29,0,284.56,50760.0,0.0,50760.0
2019-04-01,0,287.85,50760.0,0.0,50760.0
2019-04-02,0,287.92,50760.0,0.0,50760.0
2019-04-03,0,288.44,50760.0,0.0,50760.0
2019-04-04,0,289.13,50760.0,0.0,50760.0
2019-04-05,0,290.45,50760.0,0.0,50760.0
2019-04-08,0,290.77,50760.0,0.0,50760.0
2019-04-09,0,289.27,50760.0,0.0,50760.0
2019-04-10,0,290.22,50760.0,0.0,50760.0
2019-04-11,0,290.2,50760.0,0.0,50760.0
2019-04-12,0,292.16,50760.0,0.0,50760.0
2019-04-15,0,291.92,50760.0,0.0,50760.0
2019-04-16,0,292.14,50760.0,0.0,50760.0
2019-04-17,0,291.37,50760.0,0.0,50760.0
2019-04-18,0,292.0,50760.0,0.0,50760.0
2019-04-22,0,292.3,50760.0,0.0,50760.0
2019-04-23,0,294.84,50760.0,0.0,50760.0
2019-04-24,0,294.22,50760.0,0.0,50760.0
2019-04-25,0,294.04,50760.0,0.0,50760.0
2019-04-26,100,295.47,21212.999999999996,29547.000000000004,50760.0
2019-04-29,100,295.79,21212.999999999996,29579.000000000004,50792.0
2019-04-30,100,295.94,21212.999999999996,29594.0,50807.0
2019-05-01,100,293.8,21212.999999999996,29380.0,50593.0
2019-05-02,0,293.26,50539.0,0.0,50539.0
2019-05-03,-100,296.01,80140.0,-29601.0,50539.0
2019-05-06,-100,294.9,80140.0,-29489.999999999996,50650.0
2019-05-07,0,289.91,51149.0,0.0,51149.0
2019-05-08,0,289.52,51149.0,0.0,51149.0
2019-05-09,100,288.72,22626.0,28872.000000000004,51498.0
2019-05-10,100,290.0,22626.0,29000.0,51626.0
2019-05-13,100,282.8,22626.0,28280.0,50906.0
2019-05-14,0,285.32,51158.0,0.0,51158.0
2019-05-15,0,287.03,51158.0,0.0,51158.0
2019-05-16,0,289.56,51158.0,0.0,51158.0
2019-05-17,0,287.9,51158.0,0.0,51158.0
2019-05-20,0,285.98,51158.0,0.0,51158.0
2019-05-21,0,288.48,51158.0,0.0,51158.0
2019-05-22,0,287.65,51158.0,0.0,51158.0
2019-05-23,0,284.06,51158.0,0.0,51158.0
2019-05-24,0,284.76,51158.0,0.0,51158.0
2019-05-28,0,282.08,51158.0,0.0,51158.0
2019-05-29,0,280.24,51158.0,0.0,51158.0
2019-05-30,0,280.87,51158.0,0.0,51158.0
2019-05-31,0,277.3,51158.0,0.0,51158.0
2019-06-03,0,276.38,51158.0,0.0,51158.0
2019-06-04,0,282.44,51158.0,0.0,51158.0
2019-06-05,0,284.86,51158.0,0.0,51158.0
2019-06-06,0,286.76,51158.0,0.0,51158.0
2019-06-07,0,289.67,51158.0,0.0,51158.0
2019-06-10,-100,291.0,80258.0,-29100.0,51158.0
2019-06-11,-200,290.95,109353.0,-58190.0,51163.0
2019-06-12,-200,290.29,109353.0,-58058.00000000001,51294.99999999999
2019-06-13,-200,291.62,109353.0,-58324.0,51029.0
2019-06-14,-200,291.25,109353.0,-58250.0,51103.0
2019-06-17,-100,289.74,80379.0,-28974.0,51405.0
2019-06-18,0,292.45,51134.0,0.0,51134.0
2019-06-19,100,293.24,21810.0,29324.0,51134.0
2019-06-20,200,296.02,-7792.0,59204.0,51412.0
2019-06-21,200,295.57,-7792.0,59114.0,51322.0
2019-06-24,200,295.27,-7792.0,59054.0,51262.0
2019-06-25,200,292.41,-7792.0,58482.00000000001,50690.00000000001
2019-06-26,0,292.08,50624.0,0.0,50624.0
2019-06-27,-100,293.28,79952.0,-29327.999999999996,50624.0
2019-06-28,-100,294.75,79952.0,-29475.0,50477.0
2019-07-01,-200,297.32,109684.0,-59464.0,50220.0
2019-07-02,-200,298.23,109684.0,-59646.0,50038.0
2019-07-03,-100,300.48,79636.0,-30048.0,49588.0
2019-07-05,-100,300.1,79636.0,-30010.000000000004,49626.0
2019-07-08,-100,298.55,79636.0,-29855.0,49781.0
2019-07-09,0,299.03,49733.0,0.0,49733.0
2019-07-10,0,300.4,49733.0,0.0,49733.0
2019-07-11,0,300.93,49733.0,0.0,49733.0
2019-07-12,0,302.49,49733.0,0.0,49733.0
2019-07-15,0,302.46,49733.0,0.0,49733.0
2019-07-16,0,301.44,49733.0,0.0,49733.0
2019-07-17,0,299.48,49733.0,0.0,49733.0
2019-07-18,0,300.65,49733.0,0.0,49733.0
2019-07-19,0,298.9,49733.0,0.0,49733.0
2019-07-22,0,299.58,49733.0,0.0,49733.0
2019-07-23,0,301.72,49733.0,0.0,49733.0
2019-07-24,0,303.17,49733.0,0.0,49733.0
2019-07-25,0,301.71,49733.0,0.0,49733.0
2019-07-26,0,303.77,49733.0,0.0,49733.0
2019-07-29,0,303.22,49733.0,0.0,49733.0
2019-07-30,0,302.48,49733.0,0.0,49733.0
2019-07-31,0,299.23,49733.0,0.0,49733.0
2019-08-01,0,296.52,49733.0,0.0,49733.0
2019-08-02,0,294.42,49733.0,0.0,49733.0
2019-08-05,0,285.57,49733.0,0.0,49733.0
2019-08-06,0,289.38,49733.0,0.0,49733.0
2019-08-07,0,289.66,49733.0,0.0,49733.0
2019-08-08,0,295.28,49733.0,0.0,49733.0
2019-08-09,0,293.36,49733.0,0.0,49733.0
2019-08-12,0,289.81,49733.0,0.0,49733.0
2019-08-13,0,294.28,49733.0,0.0,49733.0
2019-08-14,0,285.6,49733.0,0.0,49733.0
2019-08-15,0,286.34,49733.0,0.0,49733.0
2019-08-16,0,290.58,49733.0,0.0,49733.0
2019-08-19,0,294.07,49733.0,0.0,49733.0
2019-08-20,0,291.79,49733.0,0.0,49733.0
2019-08-21,0,294.18,49733.0,0.0,49733.0
2019-08-22,0,294.07,49733.0,0.0,49733.0
2019-08-23,0,286.47,49733.0,0.0,49733.0
2019-08-26,0,289.66,49733.0,0.0,49733.0
2019-08-27,0,288.55,49733.0,0.0,49733.0
2019-08-28,0,290.5,49733.0,0.0,49733.0
2019-08-29,0,294.28,49733.0,0.0,49733.0
2019-08-30,0,294.27,49733.0,0.0,49733.0
2019-09-03,0,292.41,49733.0,0.0,49733.0
2019-09-04,0,295.76,49733.0,0.0,49733.0
2019-09-05,0,299.63,49733.0,0.0,49733.0
2019-09-06,0,299.83,49733.0,0.0,49733.0
2019-09-09,0,299.97,49733.0,0.0,49733.0
2019-09-10,0,299.95,49733.0,0.0,49733.0
2019-09-11,0,302.12,49733.0,0.0,49733.0
2019-09-12,0,303.08,49733.0,0.0,49733.0
2019-09-13,0,302.87,49733.0,0.0,49733.0
2019-09-16,0,301.98,49733.0,0.0,49733.0
2019-09-17,0,302.71,49733.0,0.0,49733.0
2019-09-18,0,302.93,49733.0,0.0,49733.0
2019-09-19,0,302.89,49733.0,0.0,49733.0
2019-09-20,0,301.22,49733.0,0.0,49733.0
2019-09-23,0,301.38,49733.0,0.0,49733.0
2019-09-24,0,297.51,49733.0,0.0,49733.0
2019-09-25,0,299.19,49733.0,0.0,49733.0
2019-09-26,0,298.59,49733.0,0.0,49733.0
2019-09-27,0,297.0,49733.0,0.0,49733.0
2019-09-30,0,298.52,49733.0,0.0,49733.0
2019-10-01,0,294.91,49733.0,0.0,49733.0
2019-10-02,0,289.63,49733.0,0.0,49733.0
2019-10-03,0,292.04,49733.0,0.0,49733.0
2019-10-04,0,296.02,49733.0,0.0,49733.0
2019-10-07,0,294.69,49733.0,0.0,49733.0
2019-10-08,0,290.13,49733.0,0.0,49733.0
2019-10-09,0,292.88,49733.0,0.0,49733.0
2019-10-10,0,294.95,49733.0,0.0,49733.0
2019-10-11,0,297.89,49733.0,0.0,49733.0
2019-10-14,0,297.69,49733.0,0.0,49733.0
2019-10-15,0,300.62,49733.0,0.0,49733.0
2019-10-16,0,300.07,49733.0,0.0,49733.0
2019-10-17,0,300.91,49733.0,0.0,49733.0
2019-10-18,0,299.6,49733.0,0.0,49733.0
2019-10-21,0,301.75,49733.0,0.0,49733.0
2019-10-22,0,300.7,49733.0,0.0,49733.0
2019-10-23,0,301.57,49733.0,0.0,49733.0
2019-10-24,0,302.11,49733.0,0.0,49733.0
2019-10-25,0,303.31,49733.0,0.0,49733.0
2019-10-28,0,305.01,49733.0,0.0,49733.0
2019-10-29,0,304.91,49733.0,0.0,49733.0
2019-10-30,0,305.87,49733.0,0.0,49733.0
2019-10-31,0,304.97,49733.0,0.0,49733.0
2019-11-01,0,307.95,49733.0,0.0,49733.0
2019-11-04,0,309.11,49733.0,0.0,49733.0
2019-11-05,-100,308.74,80607.0,-30874.0,49733.0
2019-11-06,-100,308.88,80607.0,-30888.0,49719.0
2019-11-07,-200,309.98,111605.0,-61996.0,49609.0
2019-11-08,-200,310.67,111605.0,-62134.0,49471.0
2019-11-11,-200,310.16,111605.0,-62032.00000000001,49572.99999999999
2019-11-12,-100,310.69,80536.0,-31069.0,49467.0
2019-11-13,-100,310.86,80536.0,-31086.0,49450.0
2019-11-14,0,311.3,49406.0,0.0,49406.0
2019-11-15,0,313.61,49406.0,0.0,49406.0
2019-11-18,0,313.75,49406.0,0.0,49406.0
2019-11-19,0,313.68,49406.0,0.0,49406.0
2019-11-20,100,312.52,18154.0,31252.0,49406.0
2019-11-21,100,312.07,18154.0,31207.0,49361.0
2019-11-22,0,312.74,49428.0,0.0,49428.0
2019-11-25,-100,315.1,80938.0,-31510.000000000004,49428.0
2019-11-26,-100,315.73,80938.0,-31573.0,49365.0
2019-11-27,-300,317.25,144388.0,-95175.0,49213.0
2019-11-29,-300,316.06,144388.0,-94818.0,49570.0
2019-12-02,-200,313.41,113047.0,-62682.00000000001,50364.99999999999
2019-12-03,0,311.25,51034.0,0.0,51034.0
2019-12-04,0,313.18,51034.0,0.0,51034.0
2019-12-05,0,313.84,51034.0,0.0,51034.0
2019-12-06,0,316.64,51034.0,0.0,51034.0
2019-12-09,0,315.7,51034.0,0.0,51034.0
2019-12-10,0,315.37,51034.0,0.0,51034.0
2019-12-11,0,316.17,51034.0,0.0,51034.0
2019-12-12,0,318.97,51034.0,0.0,51034.0
2019-12-13,0,319.08,51034.0,0.0,51034.0
2019-12-16,0,319.32,51034.0,0.0,51034.0
2019-12-17,0,319.35,51034.0,0.0,51034.0
2019-12-18,0,319.37,51034.0,0.0,51034.0
2019-12-19,0,320.74,51034.0,0.0,51034.0
2019-12-20,0,322.38,51034.0,0.0,51034.0
2019-12-23,0,322.61,51034.0,0.0,51034.0
2019-12-24,0,322.65,51034.0,0.0,51034.0
2019-12-26,0,324.32,51034.0,0.0,51034.0
2019-12-27,0,324.26,51034.0,0.0,51034.0
2019-12-30,0,322.51,51034.0,0.0,51034.0
2019-12-31,0,323.24,51034.0,0.0,51034.0
2020-01-02,100,326.32,18402.0,32632.0,51034.0
2020-01-03,200,323.81,-13979.0,64762.0,50783.0
2020-01-06,200,325.09,-13979.0,65017.99999999999,51038.99999999999
2020-01-07,200,324.2,-13979.0,64840.0,50861.0
2020-01-08,100,325.85,18606.000000000004,32585.000000000004,51191.00000000001
2020-01-09,-100,328.05,84216.0,-32805.0,51411.0
2020-01-10,-200,327.14,116930.0,-65428.0,51502.0
2020-01-13,-300,329.43,149873.0,-98829.0,51044.0
2020-01-14,-300,328.92,149873.0,-98676.0,51197.0
2020-01-15,-200,329.66,116907.0,-65932.0,50975.0
2020-01-16,-100,332.4,83667.0,-33240.0,50427.0
2020-01-17,-100,333.5,83667.0,-33350.0,50317.0
2020-01-21,0,332.78,50389.0,0.0,50389.0
2020-01-22,100,332.85,17104.0,33285.0,50389.0
2020-01-23,100,333.26,17104.0,33326.0,50430.0
2020-01-24,200,330.23,-15919.0,66046.0,50127.0
2020-01-27,300,324.87,-48406.0,97461.0,49055.0
2020-01-28,300,328.33,-48406.0,98499.0,50093.0
2020-01-29,200,328.1,-15596.0,65620.0,50024.0
2020-01-30,200,329.09,-15596.0,65818.0,50222.0
2020-01-31,100,323.24,16728.0,32324.0,49052.0
2020-02-03,0,325.56,49284.0,0.0,49284.0
2020-02-04,0,330.61,49284.0,0.0,49284.0
2020-02-05,0,334.29,49284.0,0.0,49284.0
2020-02-06,0,335.57,49284.0,0.0,49284.0
2020-02-07,0,333.75,49284.0,0.0,49284.0
2020-02-10,0,336.22,49284.0,0.0,49284.0
2020-02-11,0,336.84,49284.0,0.0,49284.0
2020-02-12,0,339.0,49284.0,0.0,49284.0
2020-02-13,0,338.58,49284.0,0.0,49284.0
2020-02-14,0,339.07,49284.0,0.0,49284.0
2020-02-18,0,338.26,49284.0,0.0,49284.0
2020-02-19,0,339.88,49284.0,0.0,49284.0
2020-02-20,100,338.49,15435.0,33849.0,49284.0
2020-02-21,100,335.01,15435.0,33501.0,48936.0
2020-02-24,100,323.83,15435.0,32383.0,47818.0
2020-02-25,100,314.12,15435.0,31412.0,46847.0
2020-02-26,100,312.91,15435.0,31291.000000000004,46726.0
2020-02-27,0,298.71,45306.0,0.0,45306.0
2020-02-28,0,295.91,45306.0,0.0,45306.0
2020-03-02,0,310.4,45306.0,0.0,45306.0
2020-03-03,0,301.5,45306.0,0.0,45306.0
2020-03-04,0,314.75,45306.0,0.0,45306.0
2020-03-05,0,303.76,45306.0,0.0,45306.0
2020-03-06,0,298.7,45306.0,0.0,45306.0
2020-03-09,0,274.8,45306.0,0.0,45306.0
2020-03-10,0,289.55,45306.0,0.0,45306.0
2020-03-11,0,275.47,45306.0,0.0,45306.0
2020-03-12,0,248.96,45306.0,0.0,45306.0
2020-03-13,0,271.55,45306.0,0.0,45306.0
2020-03-16,0,240.12,45306.0,0.0,45306.0
2020-03-17,0,255.39,45306.0,0.0,45306.0
2020-03-18,0,241.17,45306.0,0.0,45306.0
2020-03-19,0,242.06,45306.0,0.0,45306.0
2020-03-20,0,231.16,45306.0,0.0,45306.0
2020-03-23,0,224.65,45306.0,0.0,45306.0
2020-03-24,0,245.88,45306.0,0.0,45306.0
2020-03-25,0,247.47,45306.0,0.0,45306.0
2020-03-26,0,262.37,45306.0,0.0,45306.0
2020-03-27,0,254.24,45306.0,0.0,45306.0
2020-03-30,0,262.36,45306.0,0.0,45306.0
2020-03-31,0,258.4,45306.0,0.0,45306.0
2020-04-01,0,246.8,45306.0,0.0,45306.0
2020-04-02,0,252.59,45306.0,0.0,45306.0
2020-04-03,0,249.02,45306.0,0.0,45306.0
2020-04-06,0,265.8,45306.0,0.0,45306.0
2020-04-07,0,265.91,45306.0,0.0,45306.0
2020-04-08,0,275.0,45306.0,0.0,45306.0
2020-04-09,0,279.12,45306.0,0.0,45306.0
2020-04-13,0,276.44,45306.0,0.0,45306.0
2020-04-14,0,284.83,45306.0,0.0,45306.0
2020-04-15,0,278.57,45306.0,0.0,45306.0
2020-04-16,0,280.05,45306.0,0.0,45306.0
2020-04-17,0,287.58,45306.0,0.0,45306.0
2020-04-20,0,282.46,45306.0,0.0,45306.0
2020-04-21,0,273.86,45306.0,0.0,45306.0
2020-04-22,0,280.06,45306.0,0.0,45306.0
2020-04-23,0,279.98,45306.0,0.0,45306.0
2020-04-24,0,283.9,45306.0,0.0,45306.0
2020-04-27,0,288.19,45306.0,0.0,45306.0
2020-04-28,0,286.64,45306.0,0.0,45306.0
2020-04-29,0,294.13,45306.0,0.0,45306.0
2020-04-30,0,291.16,45306.0,0.0,45306.0
2020-05-01,0,283.53,45306.0,0.0,45306.0
2020-05-04,0,284.63,45306.0,0.0,45306.0
2020-05-05,0,287.14,45306.0,0.0,45306.0
2020-05-06,0,285.25,45306.0,0.0,45306.0
2020-05-07,0,288.63,45306.0,0.0,45306.0
2020-05-08,0,293.46,45306.0,0.0,45306.0
2020-05-11,-100,293.45,74651.0,-29345.0,45306.0
2020-05-12,0,287.47,45905.0,0.0,45905.0
2020-05-13,0,282.54,45905.0,0.0,45905.0
2020-05-14,0,285.92,45905.0,0.0,45905.0
2020-05-15,0,287.16,45905.0,0.0,45905.0
2020-05-18,0,296.04,45905.0,0.0,45905.0
2020-05-19,0,292.99,45905.0,0.0,45905.0
2020-05-20,0,297.99,45905.0,0.0,45905.0
2020-05-21,0,295.81,45905.0,0.0,45905.0
2020-05-22,0,296.41,45905.0,0.0,45905.0
2020-05-26,0,300.17,45905.0,0.0,45905.0
2020-05-27,0,304.55,45905.0,0.0,45905.0
2020-05-28,0,303.95,45905.0,0.0,45905.0
2020-05-29,0,305.18,45905.0,0.0,45905.0
2020-06-01,0,306.68,45905.0,0.0,45905.0
2020-06-02,0,309.23,45905.0,0.0,45905.0
2020-06-03,0,313.39,45905.0,0.0,45905.0
2020-06-04,0,312.34,45905.0,0.0,45905.0
2020-06-05,0,320.48,45905.0,0.0,45905.0
2020-06-08,0,324.4,45905.0,0.0,45905.0
2020-06-09,0,322.01,45905.0,0.0,45905.0
2020-06-10,0,320.11,45905.0,0.0,45905.0
2020-06-11,0,301.59,45905.0,0.0,45905.0
2020-06-12,0,305.36,45905.0,0.0,45905.0
2020-06-15,0,306.89,45905.0,0.0,45905.0
2020-06-16,0,312.79,45905.0,0.0,45905.0
2020-06-17,0,311.38,45905.0,0.0,45905.0
2020-06-18,0,311.62,45905.0,0.0,45905.0
2020-06-19,0,309.72,45905.0,0.0,45905.0
2020-06-22,0,311.94,45905.0,0.0,45905.0
2020-06-23,0,313.21,45905.0,0.0,45905.0
2020-06-24,0,305.3,45905.0,0.0,45905.0
2020-06-25,0,308.5,45905.0,0.0,45905.0
2020-06-26,0,301.14,45905.0,0.0,45905.0
2020-06-29,0,305.66,45905.0,0.0,45905.0
2020-06-30,0,309.69,45905.0,0.0,45905.0
2020-07-01,0,311.81,45905.0,0.0,45905.0
2020-07-02,0,313.45,45905.0,0.0,45905.0
2020-07-06,0,318.26,45905.0,0.0,45905.0
2020-07-07,0,314.98,45905.0,0.0,45905.0
2020-07-08,0,317.33,45905.0,0.0,45905.0
2020-07-09,0,315.72,45905.0,0.0,45905.0
2020-07-10,0,318.9,45905.0,0.0,45905.0
2020-07-13,0,316.07,45905.0,0.0,45905.0
2020-07-14,0,320.17,45905.0,0.0,45905.0
2020-07-15,0,323.16,45905.0,0.0,45905.0
2020-07-16,0,322.04,45905.0,0.0,45905.0
2020-07-17,0,322.99,45905.0,0.0,45905.0
2020-07-20,0,325.66,45905.0,0.0,45905.0
2020-07-21,0,326.25,45905.0,0.0,45905.0
2020-07-22,0,328.17,45905.0,0.0,45905.0
2020-07-23,100,324.2,13485.0,32420.0,45905.0
2020-07-24,100,322.13,13485.0,32213.0,45698.0
2020-07-27,0,324.5,45935.0,0.0,45935.0
2020-07-28,0,322.5,45935.0,0.0,45935.0
2020-07-29,0,326.38,45935.0,0.0,45935.0
2020-07-30,-100,325.26,78461.0,-32526.0,45935.0
2020-07-31,-100,327.82,78461.0,-32782.0,45679.0
2020-08-03,0,330.11,45450.0,0.0,45450.0
2020-08-04,0,331.3,45450.0,0.0,45450.0
2020-08-05,0,333.45,45450.0,0.0,45450.0
2020-08-06,0,335.71,45450.0,0.0,45450.0
2020-08-07,-100,335.95,79045.0,-33595.0,45450.0
2020-08-10,-200,336.96,112741.0,-67392.0,45349.0
2020-08-11,-200,334.14,112741.0,-66828.0,45913.0
2020-08-12,-200,338.8,112741.0,-67760.0,44981.0
