long_entry_date,long_entry_price,long_target_price,long_exit_date,long_exit_price,long_highest_price,long_highest_price_date,long_success
2019-02-22,280.82,286.44,2019-03-01,282.31,283.06,2019-02-25,0.0
2019-02-25,281.26,286.89,2019-03-04,281.16,283.57,2019-03-04,0.0
2019-02-26,281.05,286.67,2019-03-05,280.8,283.57,2019-03-04,0.0
2019-02-27,280.91,286.53,2019-03-06,279.01,283.57,2019-03-04,0.0
2019-02-28,280.32,285.93,2019-03-07,276.76,283.57,2019-03-04,0.0
2019-03-01,282.31,287.96,2019-03-08,276.2,283.57,2019-03-04,0.0
2019-03-04,281.16,286.78,2019-03-11,280.21,281.49,2019-03-05,0.0
2019-03-05,280.8,286.42,2019-03-12,281.2,281.8,2019-03-12,0.0
2019-03-06,279.01,284.59,2019-03-13,283.15,284.13,2019-03-13,0.0
2019-03-07,276.76,282.3,2019-03-13,284.13,284.13,2019-03-13,1.0
2019-03-08,276.2,281.72,2019-03-12,281.8,285.21,2019-03-15,1.0
2019-03-11,280.21,285.81,2019-03-18,285.41,285.67,2019-03-18,0.0
2019-03-12,281.2,286.82,2019-03-19,287.4,287.4,2019-03-19,1.0
2019-03-13,283.15,288.81,2019-03-20,283.39,287.4,2019-03-19,0.0
2019-03-14,283.01,288.67,2019-03-21,286.57,287.4,2019-03-19,0.0
2019-03-15,284.28,289.97,2019-03-22,281.16,287.4,2019-03-19,0.0
2019-03-18,285.41,291.12,2019-03-25,280.91,287.4,2019-03-19,0.0
2019-03-19,285.54,291.25,2019-03-26,282.96,287.07,2019-03-21,0.0
2019-03-20,283.39,289.06,2019-03-27,281.58,287.07,2019-03-21,0.0
2019-03-21,286.57,292.3,2019-03-28,282.69,285.71,2019-03-22,0.0
2019-03-22,281.16,286.78,2019-03-29,284.56,284.74,2019-03-29,0.0
2019-03-25,280.91,286.53,2019-04-01,288.08,288.08,2019-04-01,1.0
2019-03-26,282.96,288.62,2019-04-02,287.92,288.16,2019-04-02,0.0
2019-03-27,281.58,287.21,2019-04-01,288.08,289.7,2019-04-03,1.0
2019-03-28,282.69,288.34,2019-04-03,289.7,289.7,2019-04-03,1.0
2019-03-29,284.56,290.25,2019-04-05,290.56,290.56,2019-04-05,1.0
2019-04-01,287.85,293.61,2019-04-08,290.77,290.85,2019-04-08,0.0
2019-04-02,287.92,293.68,2019-04-09,289.27,290.85,2019-04-08,0.0
2019-04-03,288.44,294.21,2019-04-10,290.22,290.85,2019-04-08,0.0
2019-04-04,289.13,294.91,2019-04-11,290.2,290.85,2019-04-08,0.0
2019-04-05,290.45,296.26,2019-04-12,292.16,292.44,2019-04-12,0.0
2019-04-08,290.77,296.59,2019-04-15,291.92,292.44,2019-04-12,0.0
2019-04-09,289.27,295.06,2019-04-16,292.14,292.98,2019-04-16,0.0
2019-04-10,290.22,296.02,2019-04-17,291.37,293.39,2019-04-17,0.0
2019-04-11,290.2,296.0,2019-04-18,292.0,293.39,2019-04-17,0.0
2019-04-12,292.16,298.0,2019-04-22,292.3,293.39,2019-04-17,0.0
2019-04-15,291.92,297.76,2019-04-23,294.84,295.1,2019-04-23,0.0
2019-04-16,292.14,297.98,2019-04-24,294.22,295.14,2019-04-24,0.0
2019-04-17,291.37,297.2,2019-04-25,294.04,295.14,2019-04-24,0.0
2019-04-18,292.0,297.84,2019-04-26,295.47,295.5,2019-04-26,0.0
2019-04-22,292.3,298.15,2019-04-29,295.79,296.46,2019-04-29,0.0
2019-04-23,294.84,300.74,2019-04-30,295.94,296.46,2019-04-29,0.0
2019-04-24,294.22,300.1,2019-05-01,293.8,296.93,2019-05-01,0.0
2019-04-25,294.04,299.92,2019-05-02,293.26,296.93,2019-05-01,0.0
2019-04-26,295.47,301.38,2019-05-03,296.01,296.93,2019-05-01,0.0
2019-04-29,295.79,301.71,2019-05-06,294.9,296.93,2019-05-01,0.0
2019-04-30,295.94,301.86,2019-05-07,289.91,296.93,2019-05-01,0.0
2019-05-01,293.8,299.68,2019-05-08,289.52,296.33,2019-05-03,0.0
2019-05-02,293.26,299.13,2019-05-09,288.72,296.33,2019-05-03,0.0
2019-05-03,296.01,301.93,2019-05-10,290.0,295.28,2019-05-06,0.0
2019-05-06,294.9,300.8,2019-05-13,282.8,292.79,2019-05-07,0.0
2019-05-07,289.91,295.71,2019-05-14,285.32,291.38,2019-05-08,0.0
2019-05-08,289.52,295.31,2019-05-15,287.03,290.9,2019-05-10,0.0
2019-05-09,288.72,294.49,2019-05-16,289.56,291.17,2019-05-16,0.0
2019-05-10,290.0,295.8,2019-05-17,287.9,291.17,2019-05-16,0.0
2019-05-13,282.8,288.46,2019-05-16,291.17,291.17,2019-05-16,1.0
2019-05-14,285.32,291.03,2019-05-16,291.17,291.17,2019-05-16,1.0
2019-05-15,287.03,292.77,2019-05-22,287.65,291.17,2019-05-16,0.0
2019-05-16,289.56,295.35,2019-05-23,284.06,290.54,2019-05-17,0.0
2019-05-17,287.9,293.66,2019-05-24,284.76,288.86,2019-05-21,0.0
2019-05-20,285.98,291.7,2019-05-28,282.08,288.86,2019-05-21,0.0
2019-05-21,288.48,294.25,2019-05-29,280.24,288.6,2019-05-22,0.0
2019-05-22,287.65,293.4,2019-05-30,280.87,286.12,2019-05-24,0.0
2019-05-23,284.06,289.74,2019-05-31,277.3,286.12,2019-05-24,0.0
