short_entry_date,short_entry_price,short_target_price,short_exit_date,short_exit_price,short_lowest_price,short_lowest_price_date,short_success
2019-02-22,280.82,275.2,2019-03-01,282.31,279.2,2019-02-27,0.0
2019-02-25,281.26,275.63,2019-03-04,281.16,278.55,2019-03-04,0.0
2019-02-26,281.05,275.43,2019-03-05,280.8,278.55,2019-03-04,0.0
2019-02-27,280.91,275.29,2019-03-06,279.01,278.55,2019-03-04,0.0
2019-02-28,280.32,274.71,2019-03-07,276.76,275.74,2019-03-07,0.0
2019-03-01,282.31,276.66,2019-03-07,275.74,274.1,2019-03-08,1.0
2019-03-04,281.16,275.54,2019-03-08,274.1,274.1,2019-03-08,1.0
2019-03-05,280.8,275.18,2019-03-08,274.1,274.1,2019-03-08,1.0
2019-03-06,279.01,273.43,2019-03-13,283.15,274.1,2019-03-08,0.0
2019-03-07,276.76,271.22,2019-03-14,283.01,274.1,2019-03-08,0.0
2019-03-08,276.2,270.68,2019-03-15,284.28,276.94,2019-03-11,0.0
2019-03-11,280.21,274.61,2019-03-18,285.41,280.62,2019-03-12,0.0
2019-03-12,281.2,275.58,2019-03-19,285.54,282.04,2019-03-13,0.0
2019-03-13,283.15,277.49,2019-03-20,283.39,282.19,2019-03-20,0.0
2019-03-14,283.01,277.35,2019-03-21,286.57,282.19,2019-03-20,0.0
2019-03-15,284.28,278.59,2019-03-22,281.16,281.07,2019-03-22,0.0
2019-03-18,285.41,279.7,2019-03-25,279.53,279.53,2019-03-25,1.0
2019-03-19,285.54,279.83,2019-03-25,279.53,279.53,2019-03-25,1.0
2019-03-20,283.39,277.72,2019-03-27,281.58,279.53,2019-03-25,0.0
2019-03-21,286.57,280.84,2019-03-25,279.53,279.53,2019-03-25,1.0
2019-03-22,281.16,275.54,2019-03-29,284.56,279.53,2019-03-25,0.0
2019-03-25,280.91,275.29,2019-04-01,287.85,279.83,2019-03-27,0.0
2019-03-26,282.96,277.3,2019-04-02,287.92,279.83,2019-03-27,0.0
2019-03-27,281.58,275.95,2019-04-03,288.44,280.96,2019-03-28,0.0
2019-03-28,282.69,277.04,2019-04-04,289.13,283.03,2019-03-29,0.0
2019-03-29,284.56,278.87,2019-04-05,290.45,286.35,2019-04-01,0.0
2019-04-01,287.85,282.09,2019-04-08,290.77,287.04,2019-04-02,0.0
2019-04-02,287.92,282.16,2019-04-09,289.27,287.68,2019-04-03,0.0
2019-04-03,288.44,282.67,2019-04-10,290.22,287.95,2019-04-04,0.0
2019-04-04,289.13,283.35,2019-04-11,290.2,288.66,2019-04-09,0.0
2019-04-05,290.45,284.64,2019-04-12,292.16,288.66,2019-04-09,0.0
2019-04-08,290.77,284.95,2019-04-15,291.92,288.66,2019-04-09,0.0
2019-04-09,289.27,283.48,2019-04-16,292.14,289.27,2019-04-10,0.0
2019-04-10,290.22,284.42,2019-04-17,291.37,289.53,2019-04-11,0.0
2019-04-11,290.2,284.4,2019-04-18,292.0,290.62,2019-04-18,0.0
2019-04-12,292.16,286.32,2019-04-22,292.3,290.62,2019-04-18,0.0
2019-04-15,291.92,286.08,2019-04-23,294.84,290.62,2019-04-18,0.0
2019-04-16,292.14,286.3,2019-04-24,294.22,290.62,2019-04-18,0.0
2019-04-17,291.37,285.54,2019-04-25,294.04,290.62,2019-04-18,0.0
2019-04-18,292.0,286.16,2019-04-26,295.47,291.04,2019-04-22,0.0
2019-04-22,292.3,286.45,2019-04-29,295.79,292.4,2019-04-23,0.0
2019-04-23,294.84,288.94,2019-04-30,295.94,292.68,2019-04-25,0.0
