Date,Open,High,Low,Close,VWAP
2020-01-02,323.54,324.89,322.53,324.87,323.7863
2020-01-03,321.16,323.64,321.1,322.41,322.6608
2020-01-06,320.49,323.73,320.36,323.64,322.6699
2020-01-07,323.02,323.54,322.24,322.73,322.6387
2020-01-08,322.94,325.78,322.67,324.45,324.502
2020-01-09,326.16,326.73,325.52,326.65,326.2656
2020-01-10,327.2899,327.46,325.2,325.71,326.3435
2020-01-13,326.39,327.96,325.92,327.95,327.2958
2020-01-14,327.47,328.62,326.844,327.45,327.5684
2020-01-15,327.35,329.02,327.26,328.19,328.2284
2020-01-16,329.7,330.92,329.45,330.92,330.2392
2020-01-17,331.7,332.18,330.8539,331.95,331.7172
2020-01-21,330.9,332.18,330.82,331.3,331.3654
2020-01-22,332.24,332.95,331.17,331.34,332.011
2020-01-23,330.63,332.1682,329.41,331.72,330.9576
2020-01-24,332.44,332.53,327.36,328.77,329.3619
2020-01-27,323.03,325.12,322.66,323.5,324.0252
2020-01-28,325.06,327.85,323.6038,326.89,326.6847
2020-01-29,328.38,328.63,326.4,326.62,327.3563
2020-01-30,324.36,327.91,323.54,327.68,325.5486
2020-01-31,327.0,327.17,320.73,321.73,322.9313
2020-02-03,323.35,326.16,323.22,324.12,324.593
2020-02-04,328.07,330.01,327.72,329.06,329.1298
2020-02-05,332.27,333.09,330.67,332.86,332.1759
2020-02-06,333.91,334.19,332.8,333.98,333.7488
2020-02-07,332.82,333.9941,331.6,332.2,332.4953
2020-02-10,331.23,334.75,331.19,334.68,333.4425
2020-02-11,336.16,337.02,334.684,335.26,335.8867
2020-02-12,336.83,337.65,336.43,337.42,337.083
2020-02-13,335.8621,338.12,335.56,337.06,337.0148
2020-02-14,337.51,337.73,336.2,337.6,337.1102
2020-02-18,336.51,337.6677,335.21,336.73,336.4365
2020-02-19,337.79,339.08,337.48,338.34,338.4224
2020-02-20,337.7423,338.64,333.6817,336.95,336.2464
2020-02-21,335.47,335.81,332.58,333.48,333.7369
2020-02-24,323.14,333.5623,321.24,322.42,323.6454
2020-02-25,323.94,324.61,311.69,312.65,316.2805
2020-02-26,314.18,318.11,310.7,311.5,313.6708
2020-02-27,305.46,311.5637,297.51,297.51,303.6666
2020-02-28,288.7,297.892,285.54,296.26,291.2349
2020-03-02,298.21,309.16,294.46,309.09,301.7655
2020-03-03,309.5,313.84,297.57,300.24,304.5592
