Date,Open,High,Low,Close,VWAP
2019-02-22,279.86,281.08,279.54,280.82,280.1761
2019-02-25,282.46,283.059,281.15,281.26,281.9788
2019-02-26,280.81,282.02,280.6587,281.05,281.2824
2019-02-27,280.28,281.31,279.2,280.91,280.4915
2019-02-28,280.66,281.18,280.06,280.32,280.5066
2019-03-01,282.2,282.62,280.56,282.31,281.8418
2019-03-04,283.3699,283.57,278.55,281.16,280.7647
2019-03-05,281.28,281.49,280.1402,280.8,280.9767
2019-03-06,280.87,280.88,278.68,279.01,279.7345
2019-03-07,278.53,278.66,275.74,276.76,276.9478
2019-03-08,274.58,276.33,274.1,276.2,274.9872
2019-03-11,276.96,280.35,276.94,280.21,279.4533
2019-03-12,280.79,281.8,280.62,281.2,281.2538
2019-03-13,282.23,284.13,282.04,283.15,283.3164
2019-03-14,283.14,283.5988,282.4335,283.01,283.0378
2019-03-15,283.56,285.21,283.33,284.28,284.3408
2019-03-18,284.57,285.67,284.33,285.41,285.0741
2019-03-19,286.51,287.395,284.444,285.54,285.9593
2019-03-20,284.06,285.38,282.19,283.39,283.6717
2019-03-21,282.51,287.07,282.49,286.57,285.6113
2019-03-22,285.12,285.71,281.07,281.16,282.8929
2019-03-25,280.77,282.0798,279.53,280.91,280.7756
2019-03-26,282.87,284.0897,281.45,282.96,282.8491
2019-03-27,283.02,283.66,279.835,281.58,281.7003
2019-03-28,282.25,283.1,280.96,282.69,282.1656
2019-03-29,284.31,284.74,283.03,284.56,284.1568
2019-04-01,286.64,288.08,286.35,287.85,287.2278
2019-04-02,287.97,288.16,287.04,287.92,287.84
2019-04-03,289.25,289.7,287.675,288.44,288.8557
2019-04-04,288.74,289.39,287.95,289.13,288.7856
2019-04-05,289.86,290.56,289.54,290.45,290.3415
2019-04-08,290.03,290.85,289.31,290.77,290.145
2019-04-09,289.73,290.0228,288.66,289.27,289.3344
2019-04-10,289.72,290.34,289.27,290.22,289.7918
2019-04-11,290.77,290.78,289.53,290.2,290.1187
2019-04-12,291.97,292.44,291.21,292.16,291.9234
2019-04-15,292.24,292.31,291.04,291.92,291.6484
2019-04-16,292.92,292.98,291.46,292.14,292.4268
2019-04-17,293.38,293.39,290.94,291.37,291.6774
2019-04-18,292.09,292.28,290.62,292.0,291.694
2019-04-22,291.13,292.4,291.04,292.3,291.8487
2019-04-23,292.65,295.105,292.4017,294.84,294.4361
2019-04-24,294.7533,295.1399,294.06,294.22,294.6301
2019-04-25,294.13,294.76,292.68,294.04,294.163
2019-04-26,294.11,295.5,293.2133,295.47,294.4638
2019-04-29,295.51,296.46,295.4067,295.79,295.9256
2019-04-30,295.49,296.33,293.9099,295.94,295.3987
2019-05-01,296.73,296.93,293.77,293.8,295.6254
2019-05-02,293.64,294.68,291.49,293.26,293.168
2019-05-03,294.79,296.33,294.57,296.01,295.5901
2019-05-06,291.22,295.28,290.88,294.9,293.4372
2019-05-07,292.13,292.79,287.75,289.91,290.1773
2019-05-08,289.55,291.38,288.82,289.52,290.1146
2019-05-09,287.2,289.24,285.23,288.72,287.4029
2019-05-10,287.59,290.9008,284.21,290.0,287.4717
2019-05-13,284.31,285.4,281.84,282.8,283.1843
2019-05-14,283.91,287.0231,283.75,285.32,285.4443
2019-05-15,283.5,287.7,283.25,287.03,286.0902
2019-05-16,287.77,291.17,287.71,289.56,289.8411
2019-05-17,287.09,290.54,287.08,287.9,288.5501
2019-05-20,286.05,287.3656,285.05,285.98,286.1434
2019-05-21,287.77,288.86,287.49,288.48,288.3498
2019-05-22,287.35,288.6,287.0599,287.65,287.7615
2019-05-23,285.1,285.1099,282.47,284.06,283.7086
2019-05-24,285.66,286.12,284.01,284.76,284.9606
2019-05-28,285.02,286.075,282.08,282.08,284.3321
2019-05-29,280.78,281.2,278.56,280.24,279.9542
2019-05-30,280.96,281.92,279.68,280.87,280.8205
2019-05-31,278.06,278.96,277.11,277.3,277.7553
2019-06-03,277.15,278.39,274.9,276.38,276.4835
2019-06-04,278.96,282.5759,278.47,282.44,280.8254
2019-06-05,284.25,284.9,282.211,284.86,283.93
2019-06-06,285.21,287.495,284.49,286.76,285.8664
2019-06-07,287.9,290.83,287.7,289.67,289.7648
2019-06-10,291.36,292.81,290.87,291.0,291.6073
2019-06-11,293.0,293.42,290.18,290.95,291.3916
2019-06-12,290.66,291.25,289.83,290.29,290.3788
2019-06-13,291.4,291.97,290.6279,291.62,291.2945
2019-06-14,291.31,291.93,290.4001,291.25,290.9943
2019-06-17,289.75,290.45,289.41,289.74,289.9077
2019-06-18,291.63,293.8,291.25,292.45,292.6556
2019-06-19,292.79,293.89,291.78,293.24,292.9957
2019-06-20,296.32,296.57,293.8788,296.02,295.686
2019-06-21,295.79,297.2,295.47,295.57,295.9689
2019-06-24,295.9,296.27,295.15,295.27,295.6663
2019-06-25,295.35,295.41,292.3,292.41,293.5238
2019-06-26,293.42,293.99,292.02,292.08,292.724
2019-06-27,292.99,293.73,292.61,293.28,293.3293
2019-06-28,294.28,295.21,293.71,294.75,294.4605
2019-07-01,298.37,298.88,296.02,297.32,297.2029
2019-07-02,297.29,298.23,296.37,298.23,297.3239
2019-07-03,298.89,300.52,298.7499,300.48,299.7107
2019-07-05,299.18,300.36,297.741,300.1,299.514
2019-07-08,298.71,299.05,297.74,298.55,298.4792
2019-07-09,297.23,299.26,297.19,299.03,298.4305
2019-07-10,300.12,301.39,299.5,300.4,300.3789
2019-07-11,301.05,301.32,299.93,300.93,300.7097
2019-07-12,301.61,302.49,301.26,302.49,301.9059
2019-07-15,302.86,302.89,301.9664,302.46,302.3064
2019-07-16,302.41,302.6,301.19,301.44,301.8962
2019-07-17,301.47,301.64,299.48,299.48,300.4966
2019-07-18,298.89,300.96,298.42,300.65,299.8556
2019-07-19,301.78,301.82,298.69,298.9,300.3126
2019-07-22,299.33,300.21,298.77,299.58,299.5094
2019-07-23,300.91,301.76,299.96,301.72,300.9675
2019-07-24,300.94,303.17,300.83,303.17,302.2028
2019-07-25,302.71,302.735,300.833,301.71,301.76
2019-07-26,302.5,303.98,302.4,303.77,303.4285
2019-07-29,303.63,303.68,302.58,303.22,303.2338
2019-07-30,301.65,302.9,301.22,302.48,302.3203
2019-07-31,302.76,302.94,296.89,299.23,300.3039
2019-08-01,299.32,302.6,295.6603,296.52,298.6581
2019-08-02,295.52,295.81,292.59,294.42,294.1021
2019-08-05,289.77,289.85,283.34,285.57,287.026
2019-08-06,287.54,289.69,285.93,289.38,287.951
2019-08-07,286.01,290.46,283.66,289.66,287.4432
2019-08-08,291.26,295.28,290.68,295.28,293.9138
2019-08-09,294.27,294.95,291.32,293.36,293.3618
2019-08-12,291.58,292.21,288.69,289.81,290.4808
2019-08-13,289.37,295.84,289.0,294.28,293.9286
2019-08-14,289.7,290.41,285.4,285.6,287.3194
2019-08-15,286.52,287.24,284.02,286.34,286.2206
2019-08-16,288.14,291.01,288.08,290.58,290.1544
2019-08-19,293.86,294.77,293.14,294.07,294.1056
2019-08-20,293.49,294.02,291.61,291.79,292.6391
2019-08-21,294.15,294.57,293.43,294.18,294.078
2019-08-22,294.95,295.6309,292.1,294.07,294.1138
2019-08-23,292.63,294.45,285.1,286.47,289.84
2019-08-26,288.91,289.66,287.24,289.66,288.6975
2019-08-27,291.21,291.61,287.69,288.55,289.2376
2019-08-28,287.75,290.71,286.89,290.5,289.7244
2019-08-29,293.43,294.84,292.3,294.28,294.1223
2019-08-30,295.96,295.96,293.12,294.27,294.363
2019-09-03,292.26,293.29,290.95,292.41,292.2064
2019-09-04,294.86,295.77,294.05,295.76,294.916
2019-09-05,298.54,300.6,298.4,299.63,299.4581
2019-09-06,299.94,300.51,299.2,299.83,299.9627
2019-09-09,300.93,300.98,298.91,299.97,299.8862
2019-09-10,299.08,299.95,297.71,299.95,298.6414
2019-09-11,300.25,302.12,299.54,302.12,300.9555
2019-09-12,303.02,304.25,302.22,303.08,303.3388
2019-09-13,303.56,303.9516,302.44,302.87,303.0733
2019-09-16,301.57,302.4,301.2,301.98,301.8443
2019-09-17,301.68,302.78,301.5428,302.71,302.0281
2019-09-18,302.25,303.0,300.01,302.93,301.6526
2019-09-19,303.33,304.4,302.49,302.89,303.6131
2019-09-20,303.56,303.84,300.6,301.22,302.4472
2019-09-23,300.69,302.113,300.44,301.38,301.4504
2019-09-24,301.07,301.53,296.47,297.51,298.6941
2019-09-25,297.57,299.76,295.97,299.19,298.3195
2019-09-26,299.28,299.5,297.1,298.59,298.4818
2019-09-27,299.53,299.6,295.34,297.0,297.3902
2019-09-30,297.61,299.19,297.56,298.52,298.5628
2019-10-01,299.4,300.12,294.63,294.91,296.1999
2019-10-02,293.15,293.15,288.2414,289.63,289.9895
2019-10-03,289.4,292.06,286.42,292.04,290.0799
2019-10-04,292.79,296.2644,292.75,296.02,294.1724
2019-10-07,295.14,296.92,294.42,294.69,295.5921
2019-10-08,292.66,293.45,290.11,290.13,291.5761
2019-10-09,292.37,293.91,291.7082,292.88,292.9322
2019-10-10,292.81,295.86,292.62,294.95,294.464
2019-10-11,297.95,300.39,297.78,297.89,299.2404
2019-10-14,297.58,298.28,297.24,297.69,297.8017
2019-10-15,298.73,301.3651,298.65,300.62,300.6193
2019-10-16,300.03,300.82,299.59,300.07,300.0102
2019-10-17,301.35,301.915,300.2,300.91,301.1183
2019-10-18,300.4,301.0501,298.65,299.6,299.9388
2019-10-21,301.09,301.87,300.67,301.75,301.6007
2019-10-22,302.3,302.562,300.57,300.7,301.6961
2019-10-23,300.39,301.63,300.19,301.57,300.9656
2019-10-24,302.57,302.75,301.15,302.11,301.9714
2019-10-25,301.45,303.9,301.42,303.31,303.2132
2019-10-28,304.55,305.56,304.55,305.01,305.1497
2019-10-29,304.73,305.94,304.56,304.91,305.2014
2019-10-30,305.13,306.22,303.69,305.87,305.029
2019-10-31,305.83,305.83,303.4549,304.97,304.5255
2019-11-01,306.65,307.95,306.47,307.95,307.3988
2019-11-04,309.63,309.76,308.71,309.11,309.2116
2019-11-05,309.36,309.65,308.43,308.74,308.9226
2019-11-06,308.76,309.14,307.77,308.88,308.5509
2019-11-07,310.32,311.18,309.41,309.98,310.4944
2019-11-08,309.53,310.69,308.78,310.67,309.9844
2019-11-11,309.2,310.275,309.0,310.16,309.9707
2019-11-12,310.5,311.75,309.89,310.69,310.959
2019-11-13,309.62,311.29,309.4,310.86,310.6217
2019-11-14,310.53,311.38,309.84,311.3,310.8401
2019-11-15,312.77,313.61,312.02,313.61,312.7324
2019-11-18,313.3,314.06,312.8,313.75,313.6199
2019-11-19,314.47,314.47,312.98,313.68,313.7418
2019-11-20,313.06,313.59,310.8051,312.52,312.5119
2019-11-21,312.63,312.74,311.1786,312.07,312.0378
2019-11-22,312.86,312.97,311.62,312.74,312.5372
2019-11-25,313.75,315.14,313.75,315.1,314.7518
2019-11-26,315.23,316.04,314.84,315.73,315.6254
2019-11-27,316.47,317.28,316.15,317.25,316.7495
2019-11-29,316.69,316.9226,315.85,316.06,316.2645
2019-12-02,316.43,316.45,312.9461,313.41,313.8888
